Hours per day,While working,Instrumentalist,Composer,Foreign languages,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety_class,Depression_class,Insomnia_class,OCD_class,AgeGroup_<18,AgeGroup_18-24,AgeGroup_25-34,AgeGroup_35-44,AgeGroup_45-54,AgeGroup_55-64,AgeGroup_65+
20.0,1,0,0,1,2.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,4.0,1.0,0.0,1.0,5.0,2.0,2,2,2,2,0,0,1,0,0,0,0
1.0,0,0,0,0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,1.0,0,0,0,0,0,1,0,0,0,0,0
2.5,0,1,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,4.0,2.0,1,0,0,0,1,0,0,0,0,0,0
1.0,0,0,0,1,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,5.0,1.0,2,2,1,0,0,1,0,0,0,0,0
2.0,0,1,0,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0,0,2,0,1,0,0,0,0,0
5.0,1,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,2.0,0.0,1,2,2,0,1,0,0,0,0,0,0
3.0,1,1,0,0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,5.0,1.0,0.0,1.0,4.0,2.0,2,1,2,0,0,1,0,0,0,0,0
3.0,1,1,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,2,2,1,0,1,0,0,0,0,0,0
0.5,0,0,0,1,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,2.0,2,0,0,0,1,0,0,0,0,0,0
8.0,1,1,1,0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2,2,0,1,0,1,0,0,0,0,0
2.0,1,0,0,1,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,2.0,2,0,0,0,0,0,1,0,0,0,0
3.0,1,1,1,1,0.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,4.0,2.0,5.0,0.0,2,2,1,0,0,1,0,0,0,0,0
3.0,1,0,0,1,0.0,0.0,1.0,0.0,5.0,1.0,0.0,2.0,0.0,4.0,4.0,4.0,4.0,0.0,2,2,0,0,0,1,0,0,0,0,0
5.0,1,1,0,1,1.0,0.0,2.0,0.0,4.0,2.0,0.0,2.0,5.0,1.0,2.0,4.0,2.0,2.0,2,2,2,1,0,1,0,0,0,0,0
1.5,1,0,1,1,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,4.0,4.0,5.0,0.0,2,2,0,0,0,0,1,0,0,0,0
1.0,1,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,1,1,2,0,0,0,0,0,0,1,0
2.0,1,1,0,0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,1.0,2,1,0,1,1,0,0,0,0,0,0
1.0,1,0,0,0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,2,1,0,0,0,1,0,0,0,0,0
4.0,1,0,0,1,2.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,5.0,1.0,1.0,4.0,1.0,2,2,0,2,0,0,1,0,0,0,0
1.0,1,0,0,1,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1,1,1,0,0,0,1,0,0,0,0
2.0,1,0,0,0,1.0,1.0,2.0,5.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0
2.0,1,1,1,1,1.0,2.0,5.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,1,1,0,0,0,1,0,0,0,0,0
2.0,0,0,0,0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,3.0,0.0,1,2,0,0,0,0,1,0,0,0,0
1.0,0,0,0,0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,5.0,0.0,2,1,0,0,0,0,1,0,0,0,0
6.0,1,0,0,0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,1.0,1,1,0,0,0,1,0,0,0,0,0
2.0,1,0,0,1,0.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,5.0,2.0,0,2,0,0,1,0,0,0,0,0,0
4.0,1,1,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,5.0,0.0,2,1,1,0,0,1,0,0,0,0,0
1.5,1,0,0,1,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,2,2,2,0,1,0,0,0,0,0,0
3.0,1,0,0,0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,4.0,2.0,2,2,1,0,0,1,0,0,0,0,0
4.0,1,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,2.0,4.0,2.0,1.0,5.0,0.0,2,1,1,0,1,0,0,0,0,0,0
10.0,1,0,0,0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,5.0,0.0,1.0,2,0,0,2,1,0,0,0,0,0,0
3.0,1,0,0,1,4.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,2.0,1.0,0.0,5.0,0.0,1,2,2,2,0,0,0,1,0,0,0
3.0,0,0,0,0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,5.0,2.0,2,1,1,0,0,1,0,0,0,0,0
3.0,1,0,0,1,2.0,2.0,2.0,1.0,4.0,1.0,4.0,4.0,0.0,5.0,4.0,4.0,4.0,1.0,0,0,0,0,1,0,0,0,0,0,0
2.0,1,0,0,0,1.0,0.0,4.0,1.0,1.0,2.0,1.0,1.0,0.0,5.0,4.0,1.0,2.0,0.0,0,0,0,0,0,0,0,0,0,1,0
2.0,1,1,1,0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,5.0,4.0,2.0,2.0,1.0,0,2,0,0,0,1,0,0,0,0,0
3.0,1,0,0,1,2.0,1.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,5.0,1.0,4.0,2.0,1.0,1,0,0,0,1,0,0,0,0,0,0
2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,2.0,1.0,2,2,0,0,0,0,1,0,0,0,0
5.0,1,1,0,0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2,2,0,0,0,1,0,0,0,0,0
6.0,1,0,0,0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,5.0,2.0,2,0,1,0,1,0,0,0,0,0,0
3.0,1,1,1,0,1.0,1.0,5.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,1,1,0,0,0,1,0,0,0,0,0
5.0,1,0,0,1,4.0,1.0,2.0,2.0,1.0,2.0,1.0,5.0,1.0,4.0,4.0,1.0,4.0,4.0,2,2,2,0,0,1,0,0,0,0,0
5.0,1,0,0,1,1.0,5.0,0.0,4.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,2,1,2,1,0,1,0,0,0,0,0
6.0,1,0,0,0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,1.0,2,2,0,2,0,0,1,0,0,0,0
6.0,1,0,0,1,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2,2,0,0,0,0,0,1,0,0,0
3.0,1,0,0,0,0.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,1,1,1,0,0,1,0,0,0,0,0
10.0,1,0,0,1,1.0,0.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,5.0,4.0,2,2,1,2,0,1,0,0,0,0,0
2.0,1,0,0,1,2.0,0.0,4.0,0.0,1.0,1.0,2.0,2.0,0.0,4.0,1.0,2.0,2.0,5.0,2,2,2,0,0,1,0,0,0,0,0
2.0,1,0,0,1,1.0,1.0,5.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,2,2,1,2,0,1,0,0,0,0,0
3.0,0,1,0,0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2,0,0,2,0,0,1,0,0,0,0
1.5,0,0,0,0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,2.0,0.0,0,2,1,0,0,1,0,0,0,0,0
10.0,1,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,2,2,1,1,0,1,0,0,0,0,0
2.0,1,0,0,1,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,5.0,1,0,0,0,0,1,0,0,0,0,0
3.0,1,1,1,1,1.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0,4.0,4.0,4.0,2.0,5.0,0.0,2,2,0,2,0,1,0,0,0,0,0
2.5,1,0,0,0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2,0,0,0,1,0,0,0,0,0,0
3.0,1,0,0,1,2.0,1.0,1.0,2.0,1.0,0.0,5.0,2.0,0.0,4.0,4.0,4.0,4.0,0.0,1,0,0,0,0,1,0,0,0,0,0
0.5,1,1,0,0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,2,2,1,1,0,0,1,0,0,0,0
16.0,1,0,1,1,2.0,2.0,2.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0,0,1,1,0,1,0,0,0,0,0
6.0,1,1,0,1,5.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,1,0,0,0,1,0,0,0,0,0,0
3.0,1,0,0,1,1.0,0.0,5.0,0.0,4.0,2.0,4.0,1.0,2.0,4.0,1.0,4.0,4.0,4.0,1,0,0,0,1,0,0,0,0,0,0
0.5,0,0,0,0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,0.0,1,0,0,0,0,1,0,0,0,0,0
5.0,1,0,0,1,1.0,2.0,2.0,0.0,1.0,1.0,5.0,0.0,0.0,4.0,4.0,1.0,1.0,1.0,1,0,0,0,0,1,0,0,0,0,0
2.0,0,1,0,1,4.0,2.0,0.0,4.0,4.0,2.0,2.0,4.0,2.0,1.0,4.0,5.0,2.0,4.0,1,0,1,1,1,0,0,0,0,0,0
2.0,1,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,5.0,0.0,4.0,4.0,4.0,2,1,0,0,1,0,0,0,0,0,0
2.0,1,0,0,1,2.0,1.0,2.0,1.0,4.0,4.0,1.0,5.0,0.0,2.0,1.0,2.0,4.0,2.0,2,2,1,0,0,1,0,0,0,0,0
1.5,1,0,0,1,2.0,1.0,4.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,5.0,0,1,0,0,0,1,0,0,0,0,0
1.0,1,1,0,0,1.0,1.0,4.0,0.0,0.0,5.0,1.0,0.0,2.0,1.0,2.0,0.0,4.0,2.0,2,2,0,0,0,1,0,0,0,0,0
10.0,1,1,0,1,1.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2,2,0,0,1,0,0,0,0,0,0
2.0,1,0,0,1,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,5.0,2.0,1.0,1.0,4.0,2.0,2,2,2,0,0,1,0,0,0,0,0
15.0,1,1,1,0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,4.0,4.0,2.0,2,2,2,0,1,0,0,0,0,0,0
0.5,0,0,0,1,2.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2,2,1,1,0,1,0,0,0,0,0
3.0,1,0,0,0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,4.0,0.0,1,1,2,2,1,0,0,0,0,0,0
2.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,4.0,0.0,2,0,2,0,0,0,1,0,0,0,0
4.0,1,0,0,0,0.0,1.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,0,0,0,1,0,1,0,0,0,0,0
2.0,1,0,0,0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,2.0,0.0,2,2,1,0,1,0,0,0,0,0,0
1.0,1,0,0,0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,0.0,2.0,5.0,4.0,2,2,0,0,0,1,0,0,0,0,0
24.0,1,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1,0,2,0,1,0,0,0,0,0,0
1.0,1,0,0,0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,5.0,1.0,1.0,2.0,0.0,0,0,0,0,0,0,0,1,0,0,0
2.0,1,1,0,0,5.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,1.0,4.0,4.0,2,2,1,1,0,0,1,0,0,0,0
2.0,1,1,0,1,4.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,5.0,0.0,1.0,0.0,4.0,2,0,0,0,1,0,0,0,0,0,0
3.0,1,0,0,1,1.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,5.0,2.0,1.0,4.0,4.0,4.0,1,0,0,0,0,0,1,0,0,0,0
3.0,1,1,0,1,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,2,1,0,0,0,1,0,0,0,0,0
2.0,1,0,0,1,1.0,0.0,1.0,0.0,5.0,1.0,4.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,2,2,0,0,0,1,0,0,0,0,0
7.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,5.0,2.0,2,2,2,1,1,0,0,0,0,0,0
6.0,1,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,4.0,2.0,0,0,0,0,0,1,0,0,0,0,0
3.0,1,0,0,1,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0,1,2,0,1,1,0,0,0,0,0,0
5.0,1,0,1,0,2.0,1.0,0.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,5.0,0.0,2,1,2,0,0,0,0,0,0,1,0
4.0,1,1,1,1,2.0,1.0,1.0,2.0,2.0,2.0,1.0,5.0,4.0,2.0,1.0,2.0,2.0,2.0,2,2,0,0,0,0,1,0,0,0,0
3.0,1,1,0,1,4.0,2.0,2.0,2.0,0.0,4.0,1.0,0.0,4.0,1.0,0.0,1.0,5.0,1.0,0,0,2,0,0,0,1,0,0,0,0
2.0,1,1,0,0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0
3.0,1,0,0,1,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,4.0,1.0,0,0,0,0,0,0,1,0,0,0,0
2.0,1,0,0,0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,5.0,2.0,1,0,1,2,0,1,0,0,0,0,0
2.0,1,0,0,1,1.0,4.0,0.0,1.0,4.0,2.0,1.0,1.0,0.0,5.0,4.0,4.0,4.0,2.0,1,0,0,1,0,1,0,0,0,0,0
3.0,0,1,0,0,5.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,2.0,2,1,1,0,0,1,0,0,0,0,0
2.0,1,1,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0
3.0,1,1,1,0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2,2,2,1,1,0,0,0,0,0,0
0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,2,0,0,0,1,0,0,0,0,0,0
1.0,1,1,0,0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,2.0,2.0,2.0,1,1,0,0,1,0,0,0,0,0,0
2.0,1,0,0,0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,2.0,4.0,1,0,0,1,0,0,1,0,0,0,0
2.0,1,1,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1,0,0,0,0,1,0,0,0,0,0
6.0,1,0,0,0,5.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0
5.0,1,0,0,1,0.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,0.0,4.0,1.0,2.0,2.0,0.0,2,1,1,1,0,1,0,0,0,0,0
2.0,1,1,0,0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,4.0,1.0,2,1,0,0,1,0,0,0,0,0,0
4.0,1,1,1,0,5.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,2.0,2,1,2,0,1,0,0,0,0,0,0
8.0,1,0,1,0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,2,1,1,1,0,1,0,0,0,0,0
4.0,1,1,0,0,5.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1,2,2,0,1,0,0,0,0,0,0
2.0,1,1,0,1,4.0,0.0,2.0,0.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,5.0,1.0,2.0,0,0,0,0,0,1,0,0,0,0,0
5.0,1,0,0,1,1.0,2.0,0.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1,2,2,1,1,0,0,0,0,0,0
6.0,1,1,0,0,5.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,0,0,0,1,0,0,0,0,0
2.0,1,0,0,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,5.0,4.0,0.0,0.0,2.0,2,2,1,2,1,0,0,0,0,0,0
2.0,0,0,0,0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,5.0,0.0,2,2,0,0,0,0,0,1,0,0,0
1.0,0,1,0,0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0,0,0,0,0,1,0,0,0,0,0
1.0,0,0,0,0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,0.0,1,0,1,1,0,1,0,0,0,0,0
2.0,0,0,0,0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0
2.0,1,1,0,1,1.0,1.0,0.0,4.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,2.0,5.0,4.0,0,1,2,0,0,1,0,0,0,0,0
1.0,1,1,0,1,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,4.0,2,2,2,0,0,1,0,0,0,0,0
14.0,1,0,0,1,2.0,2.0,1.0,4.0,5.0,4.0,1.0,4.0,1.0,2.0,4.0,4.0,4.0,1.0,1,2,2,0,0,0,1,0,0,0,0
3.0,1,1,1,0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2,1,2,1,1,0,0,0,0,0,0
2.0,1,1,1,0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,5.0,0.0,0,0,2,0,0,0,0,0,0,1,0
0.5,1,1,1,1,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2,2,1,0,1,0,0,0,0,0,0
6.0,1,0,0,1,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2,2,2,0,0,0,1,0,0,0,0
1.0,1,1,0,0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,2,1,0,0,1,0,0,0,0,0,0
2.0,1,1,0,1,5.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,2,2,0,1,1,0,0,0,0,0,0
4.0,1,1,1,1,5.0,2.0,0.0,2.0,1.0,4.0,1.0,1.0,0.0,2.0,2.0,0.0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,1
3.0,1,1,1,1,4.0,0.0,1.0,0.0,4.0,4.0,4.0,0.0,1.0,4.0,5.0,4.0,2.0,0.0,2,2,2,0,1,0,0,0,0,0,0
12.0,1,1,1,1,0.0,0.0,2.0,1.0,2.0,5.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,2,1,1,1,0,0,1,0,0,0,0
3.0,0,1,0,0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,1,0,0,1,0,0,0,0,0
1.0,0,0,0,1,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,0,0,1,0,0,0,0,1,0,0,0
10.0,1,0,0,0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,2.0,0.0,4.0,4.0,4.0,0.0,0.0,2,2,2,2,0,1,0,0,0,0,0
5.0,1,1,0,1,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,4.0,0,0,0,0,1,0,0,0,0,0,0
0.5,1,1,0,1,4.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,1,0,1,0,1,0,0,0,0,0,0
5.0,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,5.0,2.0,1.0,1.0,4.0,2.0,0,0,1,0,0,1,0,0,0,0,0
3.0,1,1,1,0,5.0,2.0,1.0,2.0,1.0,4.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0
2.0,0,0,0,0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,2.0,3.0,2.0,2,1,0,0,0,1,0,0,0,0,0
4.0,1,1,0,1,5.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2,2,2,0,0,0,1,0,0,0,0
6.0,1,1,1,0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,1
3.0,1,0,0,1,2.0,4.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,5.0,2.0,2.0,0.0,1,1,0,0,0,0,0,0,0,0,1
4.0,1,0,0,1,1.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,2,1,2,2,1,0,0,0,0,0,0
3.0,0,1,0,1,1.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,5.0,2.0,2.0,0,0,0,0,0,1,0,0,0,0,0
2.0,1,1,0,0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,2,1,0,0,1,0,0,0,0,0,0
2.0,1,1,1,1,5.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,2,0,0,1,1,0,0,0,0,0,0
1.0,1,0,0,1,0.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,2.0,4.0,2.0,4.0,4.0,0.0,1,1,0,0,0,0,0,1,0,0,0
6.0,1,1,0,1,2.0,0.0,1.0,2.0,1.0,2.0,5.0,2.0,1.0,4.0,2.0,1.0,4.0,0.0,2,2,2,2,1,0,0,0,0,0,0
9.0,1,0,0,1,4.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,4.0,5.0,4.0,1.0,1.0,2,2,2,1,1,0,0,0,0,0,0
1.0,0,0,0,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0
1.0,1,0,0,0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,5.0,1,1,2,0,0,0,0,1,0,0,0
